SiteLabel,LocalCellName,Sector,PCI,DuplexMode,Band,dlBandwidth,Azimuth,MDT,EDT,HBeamwidth,AntennaHeight,GroundHeight,OperationMode,distanceX,distanceY
Site_1,Cell_1,1,520,FDD,N28(700),10 MHZ,0.0,0.0,0.0,63.0,31.6,4,NSA Option 3,1588.74,1150.03
Site_1,Cell_2,2,519,FDD,N28(700),10 MHZ,110.0,0.0,0.0,63.0,31.6,4,NSA Option 3,1588.74,1150.03
Site_1,Cell_3,3,521,FDD,N28(700),10 MHZ,240.0,0.0,0.0,63.0,31.6,4,NSA Option 3,1588.74,1150.03
Site_1,Cell_79,1,480,FDD,N28(700),10 MHZ,0.0,0.0,7.0,68.0,31.6,4,NSA Option 3,1588.74,1150.03
Site_1,Cell_80,2,481,FDD,N28(700),10 MHZ,110.0,0.0,7.0,68.0,31.6,4,NSA Option 3,1588.74,1150.03
Site_1,Cell_81,3,482,FDD,N28(700),10 MHZ,240.0,0.0,7.0,68.0,31.6,4,NSA Option 3,1588.74,1150.03
Site_10,Cell_42,3,731,FDD,N28(700),10 MHZ,210.0,0.0,7.0,68.0,18.5,11,NSA Option 3,2211.76,893.7
Site_10,Cell_40,1,729,FDD,N28(700),10 MHZ,0.0,0.0,7.0,68.0,18.5,11,NSA Option 3,2211.76,893.7
Site_10,Cell_12,3,805,FDD,N28(700),10 MHZ,210.0,0.0,0.0,63.0,18.5,11,NSA Option 3,2211.76,893.7
Site_10,Cell_11,2,804,FDD,N28(700),10 MHZ,120.0,0.0,0.0,63.0,18.5,11,NSA Option 3,2211.76,893.7
Site_10,Cell_10,1,806,FDD,N28(700),10 MHZ,0.0,0.0,0.0,63.0,18.5,11,NSA Option 3,2211.76,893.7
Site_10,Cell_41,2,730,FDD,N28(700),10 MHZ,120.0,0.0,7.0,68.0,18.5,11,NSA Option 3,2211.76,893.7
Site_11,Cell_34,1,459,TDD,N78(3500),90 MHZ,20.0,0.0,0.0,63.0,25.0,31,NSA Option 3,4041.26,2125.2
Site_11,Cell_39,3,461,FDD,N28(700),10 MHZ,305.0,0.0,8.0,65.0,25.0,31,NSA Option 3,4041.26,2125.2
Site_11,Cell_38,2,460,FDD,N28(700),10 MHZ,120.0,0.0,7.0,65.0,25.0,31,NSA Option 3,4041.26,2125.2
Site_11,Cell_37,1,459,FDD,N28(700),10 MHZ,20.0,0.0,7.0,65.0,25.0,31,NSA Option 3,4041.26,2125.2
Site_11,Cell_36,3,461,TDD,N78(3500),90 MHZ,305.0,0.0,0.0,63.0,25.0,31,NSA Option 3,4041.26,2125.2
Site_11,Cell_35,2,460,TDD,N78(3500),90 MHZ,120.0,0.0,0.0,63.0,25.0,31,NSA Option 3,4041.26,2125.2
Site_12,Cell_83,2,872,TDD,N78(3500),90 MHZ,245.0,10.0,0.0,15.0,18.0,14,NSA Option 3,159.7,3507.85
Site_12,Cell_84,3,871,TDD,N78(3500),90 MHZ,340.0,10.0,0.0,15.0,18.0,14,NSA Option 3,159.7,3507.85
Site_12,Cell_82,1,870,TDD,N78(3500),90 MHZ,115.0,10.0,0.0,15.0,18.0,14,NSA Option 3,159.7,3507.85
Site_2,Cell_60,3,926,TDD,N78(3500),90 MHZ,350.0,9.0,0.0,63.0,35.27,1,NSA Option 3,608.16,1823.07
Site_2,Cell_61,1,924,FDD,N28(700),10 MHZ,110.0,0.0,8.0,66.0,33.25,1,NSA Option 3,608.16,1823.07
Site_2,Cell_62,2,925,FDD,N28(700),10 MHZ,210.0,0.0,6.0,66.0,33.15,1,NSA Option 3,608.16,1823.07
Site_2,Cell_63,3,926,FDD,N28(700),10 MHZ,350.0,0.0,9.0,66.0,33.25,1,NSA Option 3,608.16,1823.07
Site_2,Cell_19,1,500,FDD,N28(700),10 MHZ,110.0,0.0,0.0,63.0,34.24,1,NSA Option 3,608.16,1823.07
Site_2,Cell_20,2,498,FDD,N28(700),10 MHZ,210.0,0.0,0.0,63.0,34.24,1,NSA Option 3,608.16,1823.07
Site_2,Cell_21,3,499,FDD,N28(700),10 MHZ,350.0,0.0,0.0,63.0,34.24,1,NSA Option 3,608.16,1823.07
Site_2,Cell_58,1,924,TDD,N78(3500),90 MHZ,110.0,9.0,0.0,63.0,35.27,1,NSA Option 3,608.16,1823.07
Site_2,Cell_59,2,925,TDD,N78(3500),90 MHZ,210.0,9.0,0.0,63.0,35.27,1,NSA Option 3,608.16,1823.07
Site_3,Cell_52,1,768,FDD,N28(700),10 MHZ,0.0,0.0,7.0,70.0,27.07,35,NSA Option 3,3703.48,3629.32
Site_3,Cell_53,2,769,FDD,N28(700),10 MHZ,110.0,0.0,7.0,70.0,27.07,35,NSA Option 3,3703.48,3629.32
Site_3,Cell_51,3,770,TDD,N78(3500),90 MHZ,240.0,7.0,0.0,63.0,29.27,35,NSA Option 3,3703.48,3629.32
Site_3,Cell_50,2,769,TDD,N78(3500),90 MHZ,110.0,7.0,0.0,63.0,29.27,35,NSA Option 3,3703.48,3629.32
Site_3,Cell_49,1,768,TDD,N78(3500),90 MHZ,0.0,7.0,0.0,63.0,29.27,35,NSA Option 3,3703.48,3629.32
Site_3,Cell_54,3,770,FDD,N28(700),10 MHZ,240.0,0.0,7.0,70.0,27.07,35,NSA Option 3,3703.48,3629.32
Site_4,Cell_56,2,169,FDD,N28(700),10 MHZ,140.0,0.0,7.0,63.0,26.5,36,NSA Option 3,1683.38,3512.56
Site_4,Cell_57,3,170,FDD,N28(700),10 MHZ,260.0,0.0,7.0,63.0,26.5,36,NSA Option 3,1683.38,3512.56
Site_4,Cell_55,1,168,FDD,N28(700),10 MHZ,30.0,0.0,7.0,63.0,26.5,36,NSA Option 3,1683.38,3512.56
Site_5,Cell_46,1,348,FDD,N28(700),10 MHZ,0.0,0.0,7.0,67.0,38.3,20,NSA Option 3,611.64,754.71
Site_5,Cell_48,3,350,FDD,N28(700),10 MHZ,240.0,0.0,0.0,67.0,38.25,20,NSA Option 3,611.64,754.71
Site_5,Cell_47,2,349,FDD,N28(700),10 MHZ,120.0,0.0,0.0,67.0,38.65,20,NSA Option 3,611.64,754.71
Site_5,Cell_45,3,350,TDD,N78(3500),90 MHZ,240.0,0.0,0.0,63.0,38.75,20,NSA Option 3,611.64,754.71
Site_5,Cell_43,1,348,TDD,N78(3500),90 MHZ,0.0,0.0,0.0,63.0,39.4,20,NSA Option 3,611.64,754.71
Site_5,Cell_18,3,914,FDD,N28(700),10 MHZ,240.0,0.0,0.0,67.0,38.25,20,SA Option 2,611.64,754.71
Site_5,Cell_13,1,559,TDD,N78(3500),100 MHZ,0.0,0.0,0.0,63.0,39.4,20,SA Option 2,611.64,754.71
Site_5,Cell_14,2,560,TDD,N78(3500),100 MHZ,120.0,0.0,0.0,63.0,39.4,20,SA Option 2,611.64,754.71
Site_5,Cell_15,3,558,TDD,N78(3500),100 MHZ,240.0,0.0,0.0,63.0,38.75,20,SA Option 2,611.64,754.71
Site_5,Cell_17,2,912,FDD,N28(700),10 MHZ,120.0,0.0,0.0,67.0,38.65,20,SA Option 2,611.64,754.71
Site_5,Cell_16,1,913,FDD,N28(700),10 MHZ,0.0,0.0,7.0,67.0,38.3,20,SA Option 2,611.64,754.71
Site_5,Cell_44,2,349,TDD,N78(3500),90 MHZ,120.0,0.0,0.0,63.0,39.4,20,NSA Option 3,611.64,754.71
Site_6,Cell_72,3,353,FDD,N28(700),10 MHZ,300.0,0.0,7.0,68.0,28.0,8,NSA Option 3,1035.97,0.0
Site_6,Cell_71,2,352,FDD,N28(700),10 MHZ,110.0,0.0,7.0,68.0,28.0,8,NSA Option 3,1035.97,0.0
Site_6,Cell_70,1,351,FDD,N28(700),10 MHZ,40.0,0.0,7.0,68.0,28.0,8,NSA Option 3,1035.97,0.0
Site_6,Cell_7,1,317,FDD,N28(700),10 MHZ,40.0,0.0,0.0,63.0,26.0,8,SA Option 2,1035.97,0.0
Site_6,Cell_68,2,352,TDD,N78(3500),90 MHZ,110.0,7.0,0.0,63.0,24.0,8,NSA Option 3,1035.97,0.0
Site_6,Cell_67,1,351,TDD,N78(3500),90 MHZ,40.0,7.0,0.0,63.0,24.0,8,NSA Option 3,1035.97,0.0
Site_6,Cell_4,1,656,TDD,N78(3500),100 MHZ,40.0,0.0,0.0,63.0,26.0,8,SA Option 2,1035.97,0.0
Site_6,Cell_5,2,654,TDD,N78(3500),100 MHZ,110.0,0.0,0.0,63.0,26.0,8,SA Option 2,1035.97,0.0
Site_6,Cell_6,3,655,TDD,N78(3500),100 MHZ,300.0,0.0,0.0,63.0,26.0,8,SA Option 2,1035.97,0.0
Site_6,Cell_8,2,315,FDD,N28(700),10 MHZ,110.0,0.0,0.0,63.0,26.0,8,SA Option 2,1035.97,0.0
Site_6,Cell_69,3,353,TDD,N78(3500),90 MHZ,300.0,7.0,0.0,63.0,24.0,8,NSA Option 3,1035.97,0.0
Site_6,Cell_9,3,316,FDD,N28(700),10 MHZ,300.0,0.0,0.0,63.0,26.0,8,SA Option 2,1035.97,0.0
Site_7,Cell_78,3,501,FDD,N28(700),10 MHZ,210.0,0.0,7.0,67.0,24.0,0,NSA Option 3,0.0,3049.34
Site_7,Cell_77,2,503,FDD,N28(700),10 MHZ,120.0,0.0,8.0,67.0,24.0,0,NSA Option 3,0.0,3049.34
Site_7,Cell_76,1,502,FDD,N28(700),10 MHZ,0.0,0.0,8.0,67.0,24.0,0,NSA Option 3,0.0,3049.34
Site_7,Cell_73,1,502,TDD,N78(3500),90 MHZ,0.0,0.0,0.0,63.0,20.04,0,NSA Option 3,0.0,3049.34
Site_7,Cell_74,2,503,TDD,N78(3500),90 MHZ,120.0,0.0,0.0,63.0,20.04,0,NSA Option 3,0.0,3049.34
Site_7,Cell_27,3,347,FDD,N28(700),10 MHZ,210.0,0.0,0.0,63.0,22.02,0,NSA Option 3,0.0,3049.34
Site_7,Cell_26,2,345,FDD,N28(700),10 MHZ,120.0,0.0,0.0,63.0,22.02,0,NSA Option 3,0.0,3049.34
Site_7,Cell_22,1,523,TDD,N78(3500),100 MHZ,0.0,0.0,0.0,63.0,22.02,0,NSA Option 3,0.0,3049.34
Site_7,Cell_23,2,524,TDD,N78(3500),100 MHZ,120.0,0.0,0.0,63.0,22.02,0,NSA Option 3,0.0,3049.34
Site_7,Cell_24,3,522,TDD,N78(3500),100 MHZ,210.0,0.0,0.0,63.0,22.02,0,NSA Option 3,0.0,3049.34
Site_7,Cell_25,1,346,FDD,N28(700),10 MHZ,0.0,0.0,0.0,63.0,22.02,0,NSA Option 3,0.0,3049.34
Site_7,Cell_75,3,501,TDD,N78(3500),90 MHZ,210.0,0.0,0.0,63.0,20.04,0,NSA Option 3,0.0,3049.34
Site_8,Cell_28,1,786,FDD,N28(700),10 MHZ,90.0,0.0,0.0,63.0,16.0,10,NSA Option 3,1057.33,473.95
Site_8,Cell_30,3,787,FDD,N28(700),10 MHZ,350.0,0.0,0.0,63.0,16.0,10,NSA Option 3,1057.33,473.95
Site_8,Cell_29,2,788,FDD,N28(700),10 MHZ,230.0,0.0,0.0,63.0,16.0,10,NSA Option 3,1057.33,473.95
Site_9,Cell_65,2,682,FDD,N28(700),10 MHZ,140.0,0.0,12.0,69.0,27.74,14,NSA Option 3,654.8,3558.94
Site_9,Cell_66,3,683,FDD,N28(700),10 MHZ,230.0,0.0,12.0,69.0,27.74,14,NSA Option 3,654.8,3558.94
Site_9,Cell_32,2,991,FDD,N28(700),10 MHZ,140.0,0.0,0.0,63.0,27.74,14,NSA Option 3,654.8,3558.94
Site_9,Cell_31,1,990,FDD,N28(700),10 MHZ,0.0,0.0,0.0,63.0,27.74,14,NSA Option 3,654.8,3558.94
Site_9,Cell_33,3,992,FDD,N28(700),10 MHZ,230.0,0.0,0.0,63.0,27.74,14,NSA Option 3,654.8,3558.94
Site_9,Cell_64,1,681,FDD,N28(700),10 MHZ,0.0,0.0,9.0,69.0,27.74,14,NSA Option 3,654.8,3558.94
