LocalCellName,datetime,RRC.ConnEstabSucc,RRC.ConnEstabAtt,RRC.Setup,RRC.ConnMax,MM.HoExeIntraFreqSuccOut,MM.HoExeIntraFreqReqOut,MM.HoExeIntraFreqSucc,MM.HoExeIntraFreqAtt,MM.HoExecInterFreqReqOut.Cov,MM.HoExeInterFreqSuccOut.Cov,MM.HoPrepInterFreqReqOut.Cov,MM.HoExeInterFreqReqOut,MM.HoExeInterFreqSuccOut,MM.HoPrepInterFreqReqOut,MM.HoPrepIntraFreqReqOut,MM.HoFailIn.Admit,MM.HoExeIntraFreqPrepReqIn,MM.Redirection.Blind,MM.Redirection.Cov,CARR.WBCQIDist.Bin0,CARR.WBCQIDist.Bin1,CARR.WBCQIDist.Bin2,CARR.WBCQIDist.Bin3,CARR.WBCQIDist.Bin4,CARR.WBCQIDist.Bin5,CARR.WBCQIDist.Bin6,CARR.WBCQIDist.Bin7,CARR.WBCQIDist.Bin8,CARR.WBCQIDist.Bin9,CARR.WBCQIDist.Bin10,CARR.WBCQIDist.Bin11,CARR.WBCQIDist.Bin12,CARR.WBCQIDist.Bin13,CARR.WBCQIDist.Bin14,CARR.WBCQIDist.Bin15,ThpVolDl,ThpVolUl,ThpTimeDl,ThpTimeUl,CellUnavail.System,CellUnavail.Manual,CellUnavail.EnergySaving,UECNTX.Est.Att,UECNTX.Est.Succ,UECNTX.Rem
Cell_1,day 01 00:00:00,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,87,144,391,941,3627,8361,20133,31962,54714,35798,37234,48924,45061,21852,28524,6449541.7,843203.74,6180361000,126649000,0,0,0,0,0,0
Cell_1,day 01 01:00:00,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,87,178,386,705,1062,2701,6835,13719,24444,28358,29119,30170,26859,21526,19419,7213004.86,712544.14,2708506000,75271000,0,0,0,0,0,0
Cell_1,day 01 02:00:00,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,73,43,142,327,667,2181,4418,8397,12772,16284,22973,22670,17711,10909,21930,5977043.36,113370.89,2769102000,22871000,0,0,0,0,0,0
Cell_1,day 01 03:00:00,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,25,109,258,952,1627,1461,5353,9369,10051,14347,16502,10198,5832,9240,3323790.51,295693.83,709837000,30247000,0,0,0,0,0,0
Cell_1,day 01 04:00:00,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,39,190,532,912,1627,3582,5204,9179,8645,12328,18685,13985,11215,10884,5652082.03,88436.1,851348000,43027000,0,0,45,0,0,0
Cell_1,day 01 05:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,70,108,210,631,1418,3243,6705,8974,15339,11748,11605,13145,10177,7919,12472,3461332.97,254085.86,899602000,35732000,0,0,0,0,0,0
Cell_1,day 01 06:00:00,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,18,76,292,1400,3471,3335,11066,23757,18128,14281,21566,17711,9514,14994,5634261.03,239781.04,1154108000,36098000,0,0,0,0,0,0
Cell_1,day 01 07:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,24,87,258,339,820,1243,3307,12481,8378,7822,6021,10087,12435,7090,2752341.96,254085.86,200284000,26431000,0,0,40,0,0,0
Cell_1,day 01 08:00:00,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,5,907,4077,6188,3365,10670,16066,4672,5298,2938,3766,5297,3561067.67,36759.93,335947000,7253000,0,0,0,0,0,0
Cell_1,day 01 09:00:00,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1629,165,244,477,662,1832,2376,4515,7944,16202,4672,6021,7073,3397,5513,1556796.11,368627.4,262280000,30247000,0,0,0,0,0,0
